,Combination,SUDA_Sum
0,"AGE, INCOME, LANGUAGE",773
1,"AGE, INCOME, RACE_1",623
2,"AGE, INCOME, MARITAL_STATUS",597
3,"AGE, INCOME, EDUCATION",635
4,"AGE, INCOME, EMPLOYMENT",611
5,"AGE, INCOME, LGBT_IDENTITY",559
6,"AGE, INCOME, ETHNICITY_1",469
7,"AGE, INCOME, GENDER",522
8,"AGE, INCOME, WORK_NIH_CAMPUS",534
9,"AGE, LANGUAGE, RACE_1",518
10,"AGE, LANGUAGE, MARITAL_STATUS",516
11,"AGE, LANGUAGE, EDUCATION",554
12,"AGE, LANGUAGE, EMPLOYMENT",511
13,"AGE, LANGUAGE, LGBT_IDENTITY",481
14,"AGE, LANGUAGE, ETHNICITY_1",414
15,"AGE, LANGUAGE, GENDER",423
16,"AGE, LANGUAGE, WORK_NIH_CAMPUS",462
17,"AGE, RACE_1, MARITAL_STATUS",310
18,"AGE, RACE_1, EDUCATION",354
19,"AGE, RACE_1, EMPLOYMENT",314
20,"AGE, RACE_1, LGBT_IDENTITY",276
21,"AGE, RACE_1, ETHNICITY_1",203
22,"AGE, RACE_1, GENDER",214
23,"AGE, RACE_1, WORK_NIH_CAMPUS",261
24,"AGE, MARITAL_STATUS, EDUCATION",336
25,"AGE, MARITAL_STATUS, EMPLOYMENT",302
26,"AGE, MARITAL_STATUS, LGBT_IDENTITY",275
27,"AGE, MARITAL_STATUS, ETHNICITY_1",209
28,"AGE, MARITAL_STATUS, GENDER",201
29,"AGE, MARITAL_STATUS, WORK_NIH_CAMPUS",228
30,"AGE, EDUCATION, EMPLOYMENT",354
31,"AGE, EDUCATION, LGBT_IDENTITY",314
32,"AGE, EDUCATION, ETHNICITY_1",243
33,"AGE, EDUCATION, GENDER",253
34,"AGE, EDUCATION, WORK_NIH_CAMPUS",256
35,"AGE, EMPLOYMENT, LGBT_IDENTITY",269
36,"AGE, EMPLOYMENT, ETHNICITY_1",198
37,"AGE, EMPLOYMENT, GENDER",205
38,"AGE, EMPLOYMENT, WORK_NIH_CAMPUS",231
39,"AGE, LGBT_IDENTITY, ETHNICITY_1",185
40,"AGE, LGBT_IDENTITY, GENDER",191
41,"AGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",209
42,"AGE, ETHNICITY_1, GENDER",115
43,"AGE, ETHNICITY_1, WORK_NIH_CAMPUS",144
44,"AGE, GENDER, WORK_NIH_CAMPUS",126
45,"INCOME, LANGUAGE, RACE_1",258
46,"INCOME, LANGUAGE, MARITAL_STATUS",254
47,"INCOME, LANGUAGE, EDUCATION",265
48,"INCOME, LANGUAGE, EMPLOYMENT",258
49,"INCOME, LANGUAGE, LGBT_IDENTITY",247
50,"INCOME, LANGUAGE, ETHNICITY_1",224
51,"INCOME, LANGUAGE, GENDER",221
52,"INCOME, LANGUAGE, WORK_NIH_CAMPUS",225
53,"INCOME, RACE_1, MARITAL_STATUS",68
54,"INCOME, RACE_1, EDUCATION",74
55,"INCOME, RACE_1, EMPLOYMENT",78
56,"INCOME, RACE_1, LGBT_IDENTITY",73
57,"INCOME, RACE_1, ETHNICITY_1",46
58,"INCOME, RACE_1, GENDER",33
59,"INCOME, RACE_1, WORK_NIH_CAMPUS",43
60,"INCOME, MARITAL_STATUS, EDUCATION",88
61,"INCOME, MARITAL_STATUS, EMPLOYMENT",76
62,"INCOME, MARITAL_STATUS, LGBT_IDENTITY",62
63,"INCOME, MARITAL_STATUS, ETHNICITY_1",46
64,"INCOME, MARITAL_STATUS, GENDER",44
65,"INCOME, MARITAL_STATUS, WORK_NIH_CAMPUS",39
66,"INCOME, EDUCATION, EMPLOYMENT",80
67,"INCOME, EDUCATION, LGBT_IDENTITY",64
68,"INCOME, EDUCATION, ETHNICITY_1",55
69,"INCOME, EDUCATION, GENDER",38
70,"INCOME, EDUCATION, WORK_NIH_CAMPUS",34
71,"INCOME, EMPLOYMENT, LGBT_IDENTITY",68
72,"INCOME, EMPLOYMENT, ETHNICITY_1",45
73,"INCOME, EMPLOYMENT, GENDER",34
74,"INCOME, EMPLOYMENT, WORK_NIH_CAMPUS",32
75,"INCOME, LGBT_IDENTITY, ETHNICITY_1",51
76,"INCOME, LGBT_IDENTITY, GENDER",37
77,"INCOME, LGBT_IDENTITY, WORK_NIH_CAMPUS",34
78,"INCOME, ETHNICITY_1, GENDER",27
79,"INCOME, ETHNICITY_1, WORK_NIH_CAMPUS",28
80,"INCOME, GENDER, WORK_NIH_CAMPUS",8
81,"LANGUAGE, RACE_1, MARITAL_STATUS",212
82,"LANGUAGE, RACE_1, EDUCATION",212
83,"LANGUAGE, RACE_1, EMPLOYMENT",213
84,"LANGUAGE, RACE_1, LGBT_IDENTITY",205
85,"LANGUAGE, RACE_1, ETHNICITY_1",191
86,"LANGUAGE, RACE_1, GENDER",184
87,"LANGUAGE, RACE_1, WORK_NIH_CAMPUS",187
88,"LANGUAGE, MARITAL_STATUS, EDUCATION",216
89,"LANGUAGE, MARITAL_STATUS, EMPLOYMENT",220
90,"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",214
91,"LANGUAGE, MARITAL_STATUS, ETHNICITY_1",198
92,"LANGUAGE, MARITAL_STATUS, GENDER",195
93,"LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",191
94,"LANGUAGE, EDUCATION, EMPLOYMENT",218
95,"LANGUAGE, EDUCATION, LGBT_IDENTITY",205
96,"LANGUAGE, EDUCATION, ETHNICITY_1",189
97,"LANGUAGE, EDUCATION, GENDER",194
98,"LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",191
99,"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",201
100,"LANGUAGE, EMPLOYMENT, ETHNICITY_1",195
101,"LANGUAGE, EMPLOYMENT, GENDER",186
102,"LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",191
103,"LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",184
104,"LANGUAGE, LGBT_IDENTITY, GENDER",178
105,"LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",183
106,"LANGUAGE, ETHNICITY_1, GENDER",169
107,"LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",175
