Combination,Unique Rows,Unique Rows Excluding Columns,Score
"age, education_level, religious_importance",32,642,7.78125
"age, education_level, sex",1,616,275.0
"age, education_level, handedness",6,622,44.833333333333336
"age, education_level, religious_now",1,664,227.0
"age, education_level, religious_upbringing",1,591,300.0
"age, education_level, BMI",134,307,4.358208955223881
"age, education_level, background_SES",32,373,16.1875
"age, education_level, gender_identity_F",31,653,7.67741935483871
"age, education_level, gender_identity_M",34,641,7.352941176470588
"age, education_level, sexual_attraction_F",32,650,7.53125
"age, education_level, sexual_attraction_M",34,660,6.794117647058823
"age, religious_importance, sex",14,702,13.5
"age, religious_importance, handedness",15,722,11.266666666666667
"age, religious_importance, religious_now",2,724,83.5
"age, religious_importance, religious_upbringing",13,690,15.461538461538462
"age, religious_importance, BMI",179,347,3.0391061452513966
"age, religious_importance, background_SES",100,446,4.45
"age, religious_importance, gender_identity_F",52,744,2.826923076923077
"age, religious_importance, gender_identity_M",62,740,2.435483870967742
"age, religious_importance, sexual_attraction_F",54,745,2.7037037037037037
"age, religious_importance, sexual_attraction_M",57,747,2.526315789473684
"age, sex, handedness",1,669,222.0
"age, sex, religious_now",1,719,172.0
"age, sex, religious_upbringing",1,668,223.0
"age, sex, BMI",78,372,6.653846153846154
"age, sex, background_SES",9,459,48.0
"age, sex, gender_identity_F",13,710,13.923076923076923
"age, sex, gender_identity_M",17,706,10.882352941176471
"age, sex, sexual_attraction_F",17,713,10.470588235294118
"age, sex, sexual_attraction_M",22,713,8.090909090909092
"age, handedness, religious_now",3,735,52.0
"age, handedness, religious_upbringing",1,669,222.0
"age, handedness, BMI",61,364,8.639344262295081
"age, handedness, background_SES",22,449,20.09090909090909
"age, handedness, gender_identity_F",19,722,8.894736842105264
"age, handedness, gender_identity_M",21,717,8.285714285714286
"age, handedness, sexual_attraction_F",12,729,13.5
"age, handedness, sexual_attraction_M",14,729,11.571428571428571
"age, religious_now, religious_upbringing",2,712,89.5
"age, religious_now, BMI",80,411,6.0
"age, religious_now, background_SES",12,504,32.25
"age, religious_now, gender_identity_F",19,757,7.052631578947368
"age, religious_now, gender_identity_M",24,753,5.75
"age, religious_now, sexual_attraction_F",12,760,10.916666666666666
"age, religious_now, sexual_attraction_M",20,760,6.55
"age, religious_upbringing, BMI",76,348,7.144736842105263
"age, religious_upbringing, background_SES",9,449,49.111111111111114
"age, religious_upbringing, gender_identity_F",16,701,11.875
"age, religious_upbringing, gender_identity_M",18,701,10.555555555555555
"age, religious_upbringing, sexual_attraction_F",21,706,8.80952380952381
"age, religious_upbringing, sexual_attraction_M",26,704,7.1923076923076925
"age, BMI, background_SES",309,183,2.29126213592233
"age, BMI, gender_identity_F",199,371,2.613065326633166
"age, BMI, gender_identity_M",195,384,2.6
"age, BMI, sexual_attraction_F",191,393,2.607329842931937
"age, BMI, sexual_attraction_M",192,400,2.5572916666666665
"age, background_SES, gender_identity_F",77,471,5.454545454545454
"age, background_SES, gender_identity_M",78,482,5.243589743589744
"age, background_SES, sexual_attraction_F",89,488,4.52808988764045
"age, background_SES, sexual_attraction_M",88,486,4.6022727272727275
"age, gender_identity_F, gender_identity_M",38,730,4.2368421052631575
"age, gender_identity_F, sexual_attraction_F",52,745,2.8076923076923075
"age, gender_identity_F, sexual_attraction_M",58,751,2.413793103448276
"age, gender_identity_M, sexual_attraction_F",48,747,3.0
"age, gender_identity_M, sexual_attraction_M",58,747,2.4827586206896552
"age, sexual_attraction_F, sexual_attraction_M",32,730,5.03125
"education_level, religious_importance, sex",2,818,36.5
"education_level, religious_importance, handedness",5,833,11.6
"education_level, religious_importance, religious_now",0,838,inf
"education_level, religious_importance, religious_upbringing",3,817,24.666666666666668
"education_level, religious_importance, BMI",87,514,4.333333333333333
"education_level, religious_importance, background_SES",29,603,9.931034482758621
"education_level, religious_importance, gender_identity_F",28,854,1.3214285714285714
"education_level, religious_importance, gender_identity_M",24,842,2.0416666666666665
"education_level, religious_importance, sexual_attraction_F",16,852,2.4375
"education_level, religious_importance, sexual_attraction_M",21,850,1.9523809523809523
"education_level, sex, handedness",0,795,inf
"education_level, sex, religious_now",0,825,inf
"education_level, sex, religious_upbringing",0,787,inf
"education_level, sex, BMI",47,496,8.404255319148936
"education_level, sex, background_SES",2,582,154.5
"education_level, sex, gender_identity_F",9,825,7.333333333333333
"education_level, sex, gender_identity_M",5,813,15.6
"education_level, sex, sexual_attraction_F",9,823,7.555555555555555
"education_level, sex, sexual_attraction_M",7,821,10.0
"education_level, handedness, religious_now",0,836,inf
"education_level, handedness, religious_upbringing",0,798,inf
"education_level, handedness, BMI",41,493,9.707317073170731
"education_level, handedness, background_SES",4,585,76.5
"education_level, handedness, gender_identity_F",6,834,9.5
"education_level, handedness, gender_identity_M",7,820,10.142857142857142
"education_level, handedness, sexual_attraction_F",2,832,29.5
"education_level, handedness, sexual_attraction_M",3,832,19.666666666666668
"education_level, religious_now, religious_upbringing",0,827,inf
"education_level, religious_now, BMI",35,557,9.542857142857143
"education_level, religious_now, background_SES",3,637,84.66666666666667
"education_level, religious_now, gender_identity_F",9,857,3.7777777777777777
"education_level, religious_now, gender_identity_M",4,845,11.5
"education_level, religious_now, sexual_attraction_F",4,855,9.0
"education_level, religious_now, sexual_attraction_M",7,853,5.428571428571429
"education_level, religious_upbringing, BMI",37,485,10.972972972972974
"education_level, religious_upbringing, background_SES",3,571,106.66666666666667
"education_level, religious_upbringing, gender_identity_F",11,827,5.818181818181818
"education_level, religious_upbringing, gender_identity_M",7,811,11.428571428571429
"education_level, religious_upbringing, sexual_attraction_F",4,823,17.0
"education_level, religious_upbringing, sexual_attraction_M",2,819,36.0
"education_level, BMI, background_SES",146,277,4.205479452054795
"education_level, BMI, gender_identity_F",120,533,2.9833333333333334
"education_level, BMI, gender_identity_M",101,532,3.5544554455445545
"education_level, BMI, sexual_attraction_F",121,540,2.9008264462809916
"education_level, BMI, sexual_attraction_M",119,546,2.899159663865546
"education_level, background_SES, gender_identity_F",32,630,8.15625
"education_level, background_SES, gender_identity_M",38,615,7.2631578947368425
"education_level, background_SES, sexual_attraction_F",43,628,6.116279069767442
"education_level, background_SES, sexual_attraction_M",44,630,5.931818181818182
"education_level, gender_identity_F, gender_identity_M",17,840,3.0
"education_level, gender_identity_F, sexual_attraction_F",26,854,1.4230769230769231
"education_level, gender_identity_F, sexual_attraction_M",24,851,1.6666666666666667
"education_level, gender_identity_M, sexual_attraction_F",32,843,1.5
"education_level, gender_identity_M, sexual_attraction_M",27,841,1.8518518518518519
"education_level, sexual_attraction_F, sexual_attraction_M",15,840,3.4
"religious_importance, sex, handedness",3,853,12.666666666666666
"religious_importance, sex, religious_now",0,860,inf
"religious_importance, sex, religious_upbringing",2,845,23.0
"religious_importance, sex, BMI",74,598,3.9594594594594597
"religious_importance, sex, background_SES",16,699,12.0
"religious_importance, sex, gender_identity_F",10,870,2.1
"religious_importance, sex, gender_identity_M",8,860,3.875
"religious_importance, sex, sexual_attraction_F",14,868,1.6428571428571428
"religious_importance, sex, sexual_attraction_M",17,868,1.3529411764705883
"religious_importance, handedness, religious_now",0,859,inf
"religious_importance, handedness, religious_upbringing",3,849,14.0
"religious_importance, handedness, BMI",58,620,4.672413793103448
"religious_importance, handedness, background_SES",15,713,11.866666666666667
"religious_importance, handedness, gender_identity_F",13,876,1.1538461538461537
"religious_importance, handedness, gender_identity_M",14,866,1.7857142857142858
"religious_importance, handedness, sexual_attraction_F",14,876,1.0714285714285714
