,AgeCog_W1,Sex,Race,Ethnicity,EduYrsEstCap,EduComp,HandednessScore,Height_W1
0,54,m,5,0.0,15.0,3.0,4.0,68.5
1,73,m,5,0.0,18.0,6.0,3.545,68.0
2,22,m,2,0.0,16.0,4.0,4.0,64.0
3,44,f,5,0.0,18.0,6.0,3.727,67.0
4,70,m,5,0.0,14.0,3.0,3.364,72.0
5,22,f,5,0.0,15.0,3.0,4.0,65.0
6,30,f,5,0.0,16.0,4.0,3.364,61.0
7,82,f,5,0.0,18.0,6.0,3.818,64.0
8,41,f,5,0.0,18.0,6.0,4.0,66.0
9,47,f,6,1.0,16.0,4.0,3.636,64.0
10,24,f,5,0.0,16.0,4.0,3.273,67.0
11,81,m,5,0.0,21.0,7.0,2.636,66.0
12,81,f,5,0.0,18.0,5.0,3.545,64.0
13,70,f,5,0.0,21.0,7.0,2.545,65.0
14,33,f,5,0.0,16.0,4.0,3.273,63.0
15,71,f,5,0.0,16.0,4.0,4.0,66.0
16,66,m,5,0.0,18.0,6.0,3.636,71.0
17,79,f,5,0.0,14.0,3.0,4.0,63.0
18,70,m,5,0.0,16.0,4.0,4.0,67.0
19,23,m,1,0.0,16.0,4.0,3.636,68.0
20,23,m,1,0.0,17.0,5.0,4.0,69.0
21,23,f,1,0.0,17.0,5.0,3.818,66.0
22,67,m,5,0.0,18.0,6.0,4.0,70.0
23,73,f,5,0.0,16.0,4.0,3.727,64.0
24,72,m,5,0.0,18.0,6.0,3.364,72.0
25,23,f,3,1.0,17.0,5.0,3.636,62.0
26,37,m,5,0.0,18.0,6.0,3.091,75.0
27,56,m,5,0.0,12.0,2.0,3.727,73.0
28,26,f,5,0.0,12.0,2.0,4.0,67.0
29,29,f,5,0.0,18.0,5.0,3.636,66.0
30,35,f,2,0.0,16.0,4.0,3.636,66.5
31,34,m,6,0.0,18.0,6.0,4.0,67.0
32,21,f,3,1.0,12.5,3.0,3.636,63.0
33,25,m,5,0.0,16.5,5.0,3.364,70.0
34,31,f,5,0.0,17.0,5.0,3.545,66.0
35,27,m,5,0.0,17.0,5.0,3.636,67.0
36,43,m,1,0.0,15.0,3.0,3.727,65.0
37,83,f,5,0.0,21.0,7.0,4.0,61.0
38,22,m,5,0.0,15.0,3.0,3.545,70.0
39,76,f,5,0.0,16.0,4.0,3.455,67.0
40,24,f,5,0.0,16.0,5.0,3.636,65.0
41,22,m,5,1.0,16.0,5.0,3.727,70.0
42,56,f,5,0.0,19.0,5.0,3.273,62.0
43,71,f,5,1.0,12.0,2.0,4.0,64.0
44,55,f,5,0.0,16.0,5.0,4.0,65.0
45,89,f,5,0.0,14.0,3.0,3.364,64.0
46,74,f,5,0.0,15.0,3.0,4.0,64.0
47,45,f,5,0.0,16.0,4.0,4.0,62.0
48,55,m,3,1.0,21.0,7.0,3.364,69.0
49,73,f,5,0.0,16.0,4.0,4.0,67.5
50,42,f,2,0.0,15.0,3.0,4.0,63.0
51,22,f,6,1.0,14.0,3.0,2.636,62.0
52,23,f,1,0.0,21.0,7.0,4.0,67.0
53,36,m,5,0.0,13.0,3.0,4.0,75.0
54,41,m,5,0.0,21.0,7.0,4.0,67.0
55,22,f,5,0.0,17.0,5.0,3.273,64.0
56,60,f,5,0.0,18.0,6.0,3.636,62.0
57,49,f,5,0.0,14.5,3.0,3.455,67.0
58,54,f,3,1.0,20.0,5.0,3.909,61.0
59,32,f,1,0.0,21.0,7.0,3.273,64.0
60,49,m,5,0.0,16.0,4.0,3.636,72.0
61,30,f,6,1.0,18.0,5.0,4.0,67.0
62,23,f,5,0.0,17.0,5.0,3.182,68.0
63,43,f,5,0.0,15.0,3.0,3.818,65.0
64,62,m,5,0.0,18.0,6.0,3.182,72.0
65,54,m,5,0.0,21.0,7.0,3.364,71.0
66,62,f,5,0.0,18.0,6.0,3.636,67.0
67,44,m,5,0.0,13.0,3.0,3.3,71.0
68,40,f,4,0.0,14.0,3.0,3.909,64.0
69,44,f,5,0.0,16.0,4.0,3.818,66.5
70,32,f,2,0.0,16.0,4.0,2.909,66.0
71,31,f,5,0.0,15.0,3.0,4.0,67.0
72,33,f,2,0.0,15.0,3.0,4.0,66.0
73,36,m,5,0.0,18.0,6.0,3.0,72.0
74,34,f,5,0.0,12.0,2.0,3.364,64.0
75,21,f,5,0.0,15.0,3.0,3.364,61.0
76,30,f,5,0.0,16.0,4.0,4.0,64.0
77,30,m,5,0.0,16.0,4.0,3.818,75.0
78,50,f,5,0.0,21.0,7.0,4.0,66.0
79,63,m,5,0.0,18.0,6.0,3.636,72.0
80,60,m,5,0.0,17.0,5.0,3.909,68.0
81,68,f,5,0.0,18.0,6.0,3.909,59.0
82,64,m,2,0.0,21.0,7.0,4.0,67.0
83,82,m,5,0.0,16.0,4.0,3.091,67.0
84,50,m,3,0.0,18.0,6.0,3.545,72.0
85,21,m,5,0.0,11.0,1.0,3.455,74.0
86,24,f,5,0.0,16.0,4.0,3.273,65.0
87,68,f,5,0.0,14.0,3.0,4.0,63.0
88,36,m,5,0.0,16.0,4.0,3.636,69.0
89,73,f,5,0.0,16.0,4.0,4.0,62.0
90,86,f,5,0.0,14.5,3.0,3.455,60.0
91,71,m,5,0.0,16.0,4.0,4.0,71.0
92,43,f,5,0.0,16.0,4.0,3.636,64.0
93,73,f,5,0.0,14.0,3.0,4.0,67.0
94,45,m,5,0.0,14.0,3.0,3.818,68.0
95,76,f,5,0.0,18.0,6.0,3.455,63.0
96,46,f,5,0.0,14.0,3.0,3.727,67.0
97,70,f,5,0.0,21.0,7.0,3.909,63.0
98,50,m,5,0.0,16.0,4.0,3.091,72.0
99,87,f,5,0.0,16.0,4.0,4.0,68.0
100,74,m,5,0.0,12.0,2.0,4.0,71.0
101,31,m,5,0.0,18.0,6.0,3.545,75.0
102,60,f,5,0.0,18.0,6.0,3.273,64.0
103,56,f,5,0.0,16.0,4.0,3.727,66.5
104,50,m,5,0.0,16.0,4.0,4.0,69.0
105,49,m,5,0.0,15.0,3.0,3.182,75.0
106,61,m,5,0.0,18.0,6.0,3.727,74.0
107,38,f,5,0.0,16.0,4.0,4.0,67.0
108,31,m,5,0.0,16.0,4.0,3.364,72.0
109,52,m,5,0.0,16.0,4.0,3.909,65.0
110,47,f,5,0.0,18.0,6.0,3.727,67.0
111,38,f,6,1.0,16.0,4.0,3.636,64.0
112,38,f,1,0.0,21.0,7.0,3.636,62.0
113,35,f,5,0.0,14.0,3.0,4.0,70.0
114,63,f,5,0.0,14.0,3.0,3.636,62.0
115,68,m,5,0.0,14.0,3.0,3.818,66.0
116,61,f,5,0.0,17.0,5.0,3.636,65.0
117,32,m,5,0.0,14.0,3.0,3.091,73.0
118,31,m,5,0.0,16.0,4.0,3.727,71.0
119,30,f,5,0.0,18.0,6.0,3.364,66.0
120,35,f,5,0.0,18.0,6.0,3.636,65.0
121,80,f,5,0.0,16.0,5.0,2.909,66.0
122,31,m,6,1.0,15.0,3.0,4.0,65.0
123,38,m,5,0.0,15.0,3.0,3.727,68.0
124,82,f,5,0.0,16.0,4.0,4.0,61.0
125,30,f,1,0.0,18.0,6.0,3.545,64.0
126,86,m,5,0.0,18.0,6.0,4.0,72.0
127,83,f,5,0.0,12.0,2.0,3.909,67.0
128,31,m,6,1.0,21.0,7.0,2.636,65.0
