original_index,msu,suda,fK,fM,AGE,LANGUAGE,INCOME,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,WORK_NIH_CAMPUS,dis-suda
0,3.0,1133520,1.0,634,25,english,9,2,1,3,2,0,0,2,0,0.0006174589635813289
1,3.0,349440,1.0,289,33,English,9,5,2,3,4,0,0,2,-999,0.00019034940736278104
2,,0,2.0,0,28,English,6,6,1,3,0,0,1,2,0,0.0
3,3.0,323400,1.0,255,75,English,6,5,2,4,3,0,0,1,0,0.00017616471594872763
4,3.0,539520,1.0,353,23,English,5,2,1,4,2,0,0,2,-999,0.00029389111796121687
5,5.0,3960,1.0,18,21,English,4,5,1,3,0,0,0,2,1,2.1571189708007465e-06
6,2.0,6269880,1.0,1142,33,English,-999,4,-999,2,4,0,-999,2,0,0.003415373003192976
7,2.0,2803440,1.0,617,49,English,6,4,2,3,1,0,0,2,-999,0.0015271094968438497
8,3.0,644760,1.0,416,55,English,7,5,2,4,0,2,0,1,0,0.0003512181887912852
9,,0,2.0,0,24,English,5,5,1,3,0,0,0,2,0,0.0
10,,0,2.0,0,38,English,6,5,1,4,0,0,0,2,-999,0.0
11,2.0,1089000,1.0,343,47,English,7,5,1,4,0,-999,0,2,0,0.0005932077169702053
12,2.0,4330800,1.0,832,63,Russian,8,5,1,4,0,0,0,2,1,0.0023591037471575437
13,2.0,3167400,1.0,842,21,English,5,2,1,3,0,-999,-999,1,-999,0.0017253683404329003
14,4.0,155160,1.0,252,30,English,8,5,2,3,0,0,0,1,1,8.451984331046562e-05
15,2.0,4612080,1.0,754,30,Turkish,7,5,1,4,0,0,0,1,1,0.002512324561325936
16,2.0,1256400,1.0,426,54,English,9,4,3,4,0,0,0,2,0,0.0006843950189176914
17,2.0,3293520,1.0,876,49,English,5,6,2,3,0,-999,1,2,0,0.001794069311290827
18,,0,3.0,0,22,English,6,5,1,3,0,0,0,1,0,0.0
19,5.0,4080,1.0,19,27,English,6,5,2,4,0,0,0,2,-999,2.222486212340163e-06
20,,0,2.0,0,25,English,6,5,1,3,0,0,0,1,0,0.0
21,3.0,704280,1.0,506,37,Spanish,8,5,2,3,0,0,1,2,0,0.00038364034059483584
22,3.0,339120,1.0,295,33,ENGLISH,6,4,1,4,0,0,0,2,-999,0.0001847278245903912
23,3.0,294960,1.0,319,29,English,5,5,1,4,2,0,1,2,-999,0.00016067267970388592
24,2.0,1300680,1.0,403,72,English,8,5,2,3,3,0,0,1,0,0.0007085155310457362
25,3.0,118680,1.0,115,35,English,8,5,2,4,0,0,0,1,0,6.464820188248299e-05
26,2.0,982800,1.0,256,72,English,7,5,2,4,0,0,0,1,0,0.0005353577082078217
27,4.0,27600,1.0,68,35,English,8,5,1,4,0,1,0,1,0,1.503446555406581e-05
28,3.0,984360,1.0,597,24,Spanish,5,5,1,3,2,0,1,2,-999,0.0005362074823478341
29,3.0,212520,1.0,175,20,English,5,4,1,1,2,0,0,2,-999,0.00011576538476630673
