original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduYrsEstCap,EduComp,Ethnicity,Race,Sex,dis-suda
0,1.0,14474,1.0,159,54,68.5,4.0,15.0,3.0,0.0,5,m,0.0056163657288985985
1,2.0,6156,1.0,147,73,68.0,3.545,18.0,6.0,0.0,5,m,0.0023887209774146588
2,2.0,6202,1.0,141,22,64.0,4.0,16.0,4.0,0.0,2,m,0.0024065704194161327
3,2.0,6108,1.0,112,44,67.0,3.727,18.0,6.0,0.0,5,f,0.0023700954727174685
4,2.0,3492,1.0,123,70,72.0,3.364,14.0,3.0,0.0,5,m,0.0013550054667205958
5,2.0,3054,1.0,104,22,65.0,4.0,15.0,3.0,0.0,5,f,0.0011850477363587342
6,2.0,2894,1.0,103,30,61.0,3.364,16.0,4.0,0.0,5,f,0.0011229627207014331
7,2.0,5422,1.0,127,82,64.0,3.818,18.0,6.0,0.0,5,f,0.00210390596808679
8,2.0,5596,1.0,131,41,66.0,4.0,18.0,6.0,0.0,5,f,0.002171423422614105
9,2.0,7932,1.0,118,47,64.0,3.636,16.0,4.0,1.0,6,f,0.003077864651210701
10,2.0,1950,1.0,57,24,67.0,3.273,16.0,4.0,0.0,5,f,0.0007566611283233568
11,2.0,9108,1.0,159,81,66.0,2.636,21.0,7.0,0.0,5,m,0.0035341895162918635
12,2.0,3386,1.0,125,81,64.0,3.545,18.0,5.0,0.0,5,f,0.001313874143847634
13,2.0,7738,1.0,143,70,65.0,2.545,21.0,7.0,0.0,5,f,0.003002586569726223
14,2.0,6580,1.0,135,33,63.0,3.273,16.0,4.0,0.0,5,f,0.0025532462689065068
15,3.0,792,1.0,49,71,66.0,4.0,16.0,4.0,0.0,5,f,0.0003073208275036403
16,2.0,3280,1.0,115,66,71.0,3.636,18.0,6.0,0.0,5,m,0.001272742820974672
17,2.0,1950,1.0,57,79,63.0,4.0,14.0,3.0,0.0,5,f,0.0007566611283233568
18,2.0,2296,1.0,83,70,67.0,4.0,16.0,4.0,0.0,5,m,0.0008909199746822704
19,2.0,8450,1.0,179,23,68.0,3.636,16.0,4.0,0.0,1,m,0.003278864889401213
20,2.0,5876,1.0,161,23,69.0,4.0,17.0,5.0,0.0,1,m,0.002280072200014382
21,2.0,6194,1.0,151,23,66.0,3.818,17.0,5.0,0.0,1,f,0.002403466168633268
22,2.0,4264,1.0,119,67,70.0,4.0,18.0,6.0,0.0,5,m,0.0016545656672670736
23,2.0,2894,1.0,103,73,64.0,3.727,16.0,4.0,0.0,5,f,0.0011229627207014331
24,2.0,3966,1.0,100,72,72.0,3.364,18.0,6.0,0.0,5,m,0.0015389323256053504
25,2.0,9842,1.0,179,23,62.0,3.636,17.0,5.0,1.0,3,f,0.003819004525619732
26,2.0,8268,1.0,157,37,75.0,3.091,18.0,6.0,0.0,5,m,0.0032082431840910327
27,2.0,6194,1.0,151,56,73.0,3.727,12.0,2.0,0.0,5,m,0.002403466168633268
28,2.0,7564,1.0,139,26,67.0,4.0,12.0,2.0,0.0,5,f,0.0029350691151989084
29,2.0,4438,1.0,123,29,66.0,3.636,18.0,5.0,0.0,5,f,0.0017220831217943885
30,2.0,9320,1.0,167,35,66.5,3.636,16.0,4.0,0.0,2,f,0.0036164521620377873
31,2.0,8414,1.0,167,34,67.0,4.0,18.0,6.0,0.0,6,m,0.0032648957608783203
32,1.0,20984,1.0,209,21,63.0,3.636,12.5,3.0,1.0,3,f,0.008142449803455036
33,2.0,8858,1.0,175,25,70.0,3.364,16.5,5.0,0.0,5,m,0.0034371816793273306
34,2.0,6020,1.0,147,31,66.0,3.545,17.0,5.0,0.0,5,f,0.0023359487141059528
35,1.0,13692,1.0,120,27,67.0,3.636,17.0,5.0,0.0,5,m,0.0053129252148735396
36,2.0,7550,1.0,164,43,65.0,3.727,15.0,3.0,0.0,1,m,0.002929636676328894
37,2.0,5808,1.0,139,83,61.0,4.0,21.0,7.0,0.0,5,f,0.002253686068360029
38,2.0,3006,1.0,97,22,70.0,3.545,15.0,3.0,0.0,5,m,0.001166422231661544
39,2.0,3666,1.0,127,76,67.0,3.455,16.0,4.0,0.0,5,f,0.001422522921247911
40,2.0,2788,1.0,93,24,65.0,3.636,16.0,5.0,0.0,5,f,0.0010818313978284712
41,2.0,6428,1.0,168,22,70.0,3.727,16.0,5.0,1.0,5,m,0.0024942655040320707
42,1.0,18062,1.0,183,56,62.0,3.273,19.0,5.0,0.0,5,f,0.007008622205013575
43,2.0,3742,1.0,123,71,64.0,4.0,12.0,2.0,1.0,5,f,0.0014520133036851287
44,2.0,4226,1.0,115,55,65.0,4.0,16.0,5.0,0.0,5,f,0.0016398204760484645
45,2.0,6580,1.0,135,89,64.0,3.364,14.0,3.0,0.0,5,f,0.0025532462689065068
46,2.0,2894,1.0,103,74,64.0,4.0,15.0,3.0,0.0,5,f,0.0011229627207014331
47,2.0,5268,1.0,110,45,62.0,4.0,16.0,4.0,0.0,5,f,0.0020441491405166377
48,2.0,16040,1.0,208,55,69.0,3.364,21.0,7.0,1.0,3,m,0.006224022819644432
49,2.0,2422,1.0,80,73,67.5,4.0,16.0,4.0,0.0,5,f,0.000939811924512395
50,2.0,9562,1.0,149,42,63.0,4.0,15.0,3.0,0.0,2,f,0.0037103557482194554
51,2.0,14360,1.0,204,22,62.0,2.636,14.0,3.0,1.0,6,f,0.0055721301552427716
52,2.0,7352,1.0,159,23,67.0,4.0,21.0,7.0,0.0,1,f,0.002852806469452984
53,2.0,6792,1.0,143,36,75.0,4.0,13.0,3.0,0.0,5,m,0.0026355089146524306
54,2.0,5124,1.0,108,41,67.0,4.0,21.0,7.0,0.0,5,m,0.001988272626425067
55,2.0,4900,1.0,131,22,64.0,3.273,17.0,5.0,0.0,5,f,0.0019013536045048454
56,3.0,1438,1.0,76,60,62.0,3.636,18.0,6.0,0.0,5,f,0.0005579890782199934
57,2.0,6822,1.0,145,49,67.0,3.455,14.5,3.0,0.0,5,f,0.0026471498550881744
58,1.0,21824,1.0,211,54,61.0,3.909,20.0,5.0,1.0,3,f,0.008468396135655866
59,2.0,8828,1.0,173,32,64.0,3.273,21.0,7.0,0.0,1,f,0.0034255407388915867
60,2.0,6108,1.0,112,49,72.0,3.636,16.0,4.0,0.0,5,m,0.0023700954727174685
61,2.0,10160,1.0,194,30,67.0,4.0,18.0,5.0,1.0,6,f,0.0039423984942386185
62,2.0,6444,1.0,151,23,68.0,3.182,17.0,5.0,0.0,5,f,0.002500474005597801
63,2.0,2894,1.0,103,43,65.0,3.818,15.0,3.0,0.0,5,f,0.0011229627207014331
64,2.0,4438,1.0,123,62,72.0,3.182,18.0,6.0,0.0,5,m,0.0017220831217943885
65,2.0,3628,1.0,123,54,71.0,3.364,21.0,7.0,0.0,5,m,0.0014077777300293018
66,2.0,2210,1.0,72,62,67.0,3.636,18.0,6.0,0.0,5,f,0.000857549278766471
67,1.0,18834,1.0,179,44,71.0,3.3,13.0,3.0,0.0,5,m,0.007308182405560052
68,2.0,7950,1.0,151,40,64.0,3.909,14.0,3.0,0.0,4,f,0.0030848492154721473
69,2.0,4226,1.0,115,44,66.5,3.818,16.0,4.0,0.0,5,f,0.0016398204760484645
70,2.0,8336,1.0,163,32,66.0,2.909,16.0,4.0,0.0,2,f,0.0032346293157453857
71,2.0,3824,1.0,120,31,67.0,4.0,15.0,3.0,0.0,5,f,0.0014838318742094957
72,2.0,4998,1.0,111,33,66.0,4.0,15.0,3.0,0.0,2,f,0.0019393806765949423
73,2.0,9108,1.0,159,36,72.0,3.0,18.0,6.0,0.0,5,m,0.0035341895162918635
74,2.0,5422,1.0,127,34,64.0,3.364,12.0,2.0,0.0,5,f,0.00210390596808679
75,2.0,3966,1.0,100,21,61.0,3.364,15.0,3.0,0.0,5,f,0.0015389323256053504
76,3.0,1438,1.0,76,30,64.0,4.0,16.0,4.0,0.0,5,f,0.0005579890782199934
77,2.0,4950,1.0,104,30,75.0,3.818,16.0,4.0,0.0,5,m,0.001920755171897752
78,2.0,5210,1.0,119,50,66.0,4.0,21.0,7.0,0.0,5,f,0.0020216433223408663
79,3.0,1438,1.0,76,63,72.0,3.636,18.0,6.0,0.0,5,m,0.0005579890782199934
80,2.0,7526,1.0,163,60,68.0,3.909,17.0,5.0,0.0,5,m,0.0029203239239802992
81,1.0,15708,1.0,163,68,59.0,3.909,18.0,6.0,0.0,5,f,0.006095196412155533
82,2.0,8154,1.0,157,64,67.0,4.0,21.0,7.0,0.0,2,m,0.003164007610435206
83,2.0,5210,1.0,119,82,67.0,3.091,16.0,4.0,0.0,5,m,0.0020216433223408663
84,2.0,11636,1.0,183,50,72.0,3.545,18.0,6.0,0.0,3,m,0.00451513276367722
85,2.0,10478,1.0,175,21,74.0,3.455,11.0,1.0,0.0,5,m,0.0040657924628575036
86,3.0,1052,1.0,64,24,65.0,3.273,16.0,4.0,0.0,5,f,0.0004082089779467546
87,2.0,2036,1.0,68,68,63.0,4.0,14.0,3.0,0.0,5,f,0.0007900318242391562
88,2.0,6108,1.0,112,36,69.0,3.636,16.0,4.0,0.0,5,m,0.0023700954727174685
