original_index,msu,suda,fK,fM,sexual_attraction_F,sexual_attraction_M,age,gender_identity_F,education_level,gender_identity_M,religious_importance,sex,handedness,religious_now,religious_upbringing,BMI,background_SES,dis-suda
0,4.0,33732720,1.0,1056,1.0,7.0,22,7.0,medium,1.0,2.0,female,right,yes,no,23,2.0,0.0002967501366706532
1,3.0,139139280,1.0,1570,1.0,7.0,22,7.0,medium,2.0,-999.0,female,right,no,no,20,5.5,0.001224022265511239
2,2.0,216432720,1.0,1842,3.0,6.0,25,6.0,high,1.0,-999.0,female,right,no,no,31,3.0,0.0019039804450990377
3,4.0,28193760,1.0,940,2.0,6.0,22,7.0,high,1.0,-999.0,female,right,no,yes,20,5.0,0.00024802334745788646
4,3.0,17624880,1.0,511,7.0,1.0,22,1.0,high,6.0,-999.0,male,right,no,no,23,4.5,0.00015504784520204305
5,3.0,53933040,1.0,815,1.0,7.0,25,7.0,medium,1.0,-999.0,female,right,no,no,23,2.5,0.0004744543870480591
6,2.0,388296720,1.0,1742,-999.0,-999.0,20,-999.0,medium,-999.0,-999.0,male,left,no,yes,39,4.0,0.003415885369717187
7,4.0,29897280,1.0,938,-999.0,-999.0,20,-999.0,medium,-999.0,2.0,female,right,yes,yes,25,2.0,0.0002630093845406118
8,2.0,269786160,1.0,1661,-999.0,-999.0,26,-999.0,high,-999.0,3.0,male,right,yes,yes,30,2.0,0.0023733360325479446
9,3.0,48948480,1.0,1016,7.0,1.0,22,1.0,medium,6.0,-999.0,male,left,no,no,22,2.0,0.00043060471049535093
10,4.0,4112640,1.0,188,-999.0,-999.0,25,-999.0,medium,-999.0,-999.0,male,right,no,no,22,3.0,3.617930846007067e-05
11,4.0,7207200,1.0,265,7.0,1.0,21,1.0,high,7.0,-999.0,male,right,no,no,22,4.5,6.34024645807611e-05
12,3.0,268138080,1.0,1897,7.0,1.0,24,1.0,medium,7.0,4.0,male,right,yes,yes,35,2.0,0.002358837706731225
13,3.0,89666640,1.0,1392,7.0,2.0,22,1.0,high,6.0,-999.0,male,right,no,yes,25,4.0,0.0007888064666827418
14,3.0,39125520,1.0,659,-999.0,-999.0,22,-999.0,high,-999.0,-999.0,male,left,no,no,26,3.5,0.0003441911416366772
15,4.0,2484720,1.0,112,7.0,1.0,20,1.0,medium,7.0,-999.0,male,right,no,no,20,3.5,2.185833219462603e-05
16,,0,2.0,0,-999.0,-999.0,24,-999.0,medium,-999.0,-999.0,male,right,no,no,24,4.0,0.0
17,3.0,129734640,1.0,1427,6.0,2.0,20,1.0,high,7.0,-999.0,male,right,no,no,23,6.0,0.0011412886998415186
18,4.0,4536000,1.0,216,-999.0,-999.0,22,-999.0,high,-999.0,-999.0,female,right,no,no,19,4.5,3.990364903684265e-05
19,2.0,235448640,1.0,1409,2.0,6.0,20,7.0,medium,1.0,-999.0,female,right,no,no,29,2.0,0.002071265409339046
