original_index,msu,suda,fK,fM,BMI,background_SES,age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,religious_importance,sex,handedness,religious_now,education_level,religious_upbringing,dis-suda
0,4.0,34601880,1.0,3084,23,2.0,22,7.0,1.0,1.0,7.0,2.0,female,right,yes,medium,no,0.000302641672227839
1,3.0,140154120,1.0,3887,20,5.5,22,7.0,1.0,2.0,7.0,-999.0,female,right,no,medium,no,0.0012258431405004935
2,2.0,217553760,1.0,4369,31,3.0,25,6.0,3.0,1.0,6.0,-999.0,female,right,no,high,no,0.001902810879809246
3,4.0,29013360,1.0,2870,20,5.0,22,6.0,2.0,1.0,7.0,-999.0,female,right,no,high,yes,0.0002537622749789403
4,3.0,18172440,1.0,1859,23,4.5,22,1.0,7.0,6.0,1.0,-999.0,male,right,no,high,no,0.00015894331839946474
5,3.0,54581040,1.0,2355,23,2.5,25,7.0,1.0,1.0,7.0,-999.0,female,right,no,medium,no,0.0004773872754178262
6,2.0,389260440,1.0,3933,39,4.0,20,-999.0,-999.0,-999.0,-999.0,-999.0,male,left,no,medium,yes,0.0034046251386844993
7,4.0,30673560,1.0,2762,25,2.0,20,-999.0,-999.0,-999.0,-999.0,2.0,female,right,yes,medium,yes,0.00026828303813494975
8,2.0,270794400,1.0,3958,30,2.0,26,-999.0,-999.0,-999.0,-999.0,3.0,male,right,yes,high,yes,0.002368474488840905
9,3.0,49759560,1.0,2925,22,2.0,22,1.0,7.0,6.0,1.0,-999.0,male,left,no,medium,no,0.0004352167121474755
10,4.0,4374000,1.0,871,22,3.0,25,-999.0,-999.0,-999.0,-999.0,-999.0,male,right,no,medium,no,3.825672692710824e-05
11,4.0,7490040,1.0,972,22,4.5,21,1.0,7.0,7.0,1.0,-999.0,male,right,no,high,no,6.551084018132551e-05
12,3.0,269149200,1.0,4178,35,2.0,24,1.0,7.0,7.0,1.0,4.0,male,right,yes,medium,yes,0.0023540849215934246
13,3.0,90649800,1.0,3645,25,4.0,22,2.0,7.0,6.0,1.0,-999.0,male,right,no,high,yes,0.0007928588579325505
14,3.0,39706560,1.0,2071,26,3.5,22,-999.0,-999.0,-999.0,-999.0,-999.0,male,left,no,high,no,0.0003472892142512206
