original_index,msu,suda,fK,fM,AgeCog_W1,Height_W1,HandednessScore,EduComp,Race,EduYrsEstCap,Sex,Ethnicity,dis-suda
0,1.0,14483,1.0,168,54,68.5,4.0,3.0,5,15.0,m,0.0,0.005611007861923035
1,2.0,6165,1.0,156,73,68.0,3.545,6.0,5,18.0,m,0.0,0.002388446003504489
2,2.0,6211,1.0,150,22,64.0,4.0,4.0,2,16.0,m,0.0,0.002406267336215147
3,2.0,6116,1.0,120,44,67.0,3.727,6.0,5,18.0,f,0.0,0.002369462409964875
4,2.0,3501,1.0,132,70,72.0,3.364,3.0,5,14.0,m,0.0,0.0013563583873916004
5,2.0,3063,1.0,113,22,65.0,4.0,3.0,5,15.0,f,0.0,0.0011866683063640308
6,2.0,2903,1.0,112,30,61.0,3.364,4.0,5,16.0,f,0.0,0.0011246810621530464
7,2.0,5431,1.0,136,82,64.0,3.818,6.0,5,18.0,f,0.0,0.0021040795206865985
8,2.0,5605,1.0,140,41,66.0,4.0,6.0,5,18.0,f,0.0,0.002171490648766044
9,2.0,7940,1.0,126,47,64.0,3.636,4.0,6,16.0,f,1.0,0.003076116993970096
10,2.0,1957,1.0,64,24,67.0,3.273,4.0,5,16.0,f,0.0,0.0007581814807556018
11,2.0,9117,1.0,168,81,66.0,2.636,7.0,5,21.0,m,0.0,0.0035321106591971493
12,2.0,3395,1.0,134,81,64.0,3.545,5.0,5,18.0,f,0.0,0.001315291838101823
13,2.0,7747,1.0,152,70,65.0,2.545,7.0,5,21.0,f,0.0,0.0030013448806405964
14,2.0,6589,1.0,144,33,63.0,3.273,4.0,5,16.0,f,0.0,0.0025527122006635972
15,3.0,799,1.0,56,71,66.0,4.0,4.0,5,16.0,f,0.0,0.00030954880077860286
16,2.0,3289,1.0,124,66,71.0,3.636,6.0,5,18.0,m,0.0,0.001274225288812046
17,2.0,1957,1.0,64,79,63.0,4.0,3.0,5,14.0,f,0.0,0.0007581814807556018
18,2.0,2305,1.0,92,70,67.0,4.0,4.0,5,16.0,m,0.0,0.0008930037369144926
19,2.0,8459,1.0,188,23,68.0,3.636,4.0,1,16.0,m,0.0,0.0032771881173794763
20,2.0,5885,1.0,170,23,69.0,4.0,5.0,1,17.0,m,0.0,0.002279968326135266
21,2.0,6203,1.0,160,23,66.0,3.818,5.0,1,17.0,f,0.0,0.002403167974004598
22,2.0,4273,1.0,128,67,70.0,4.0,6.0,5,18.0,m,0.0,0.0016554468407095995
23,2.0,2903,1.0,112,73,64.0,3.727,4.0,5,16.0,f,0.0,0.0011246810621530464
24,2.0,3974,1.0,108,72,72.0,3.364,6.0,5,18.0,m,0.0,0.0015396081780903227
25,2.0,9851,1.0,188,23,62.0,3.636,5.0,3,17.0,f,1.0,0.00381647714201504
26,2.0,8277,1.0,166,37,75.0,3.091,6.0,5,18.0,m,0.0,0.0032066776270894817
27,2.0,6203,1.0,160,56,73.0,3.727,2.0,5,12.0,m,0.0,0.002403167974004598
28,2.0,7573,1.0,148,26,67.0,4.0,2.0,5,12.0,f,0.0,0.0029339337525611507
29,2.0,4447,1.0,132,29,66.0,3.636,5.0,5,18.0,f,0.0,0.001722857968789045
30,2.0,9329,1.0,176,35,66.5,3.636,4.0,2,16.0,f,0.0,0.0036142437577767034
31,2.0,8423,1.0,176,34,67.0,4.0,6.0,6,18.0,m,0.0,0.003263240987432005
32,1.0,20993,1.0,218,21,63.0,3.636,3.0,3,12.5,f,1.0,0.00813311386075746
33,2.0,8867,1.0,184,25,70.0,3.364,5.0,5,16.5,m,0.0,0.0034352555901174865
34,2.0,6029,1.0,156,31,66.0,3.545,5.0,5,17.0,f,0.0,0.0023357568459251524
35,1.0,13700,1.0,128,27,67.0,3.636,5.0,5,17.0,m,0.0,0.005307657785565531
36,2.0,7559,1.0,173,43,65.0,3.727,3.0,1,15.0,m,0.0,0.0029285098686926895
37,2.0,5817,1.0,148,83,61.0,4.0,7.0,5,21.0,f,0.0,0.002253623747345598
38,2.0,3014,1.0,105,22,70.0,3.545,3.0,5,15.0,m,0.0,0.001167684712824417
39,2.0,3675,1.0,136,76,67.0,3.455,4.0,5,16.0,f,0.0,0.0014237695154710457
40,2.0,2797,1.0,102,24,65.0,3.636,5.0,5,16.0,f,0.0,0.0010836145128632693
41,2.0,6437,1.0,177,22,70.0,3.727,5.0,5,16.0,m,1.0,0.0024938243186631622
42,1.0,18071,1.0,192,56,62.0,3.273,5.0,5,19.0,f,0.0,0.007001071813354358
43,2.0,3751,1.0,132,71,64.0,4.0,2.0,5,12.0,f,1.0,0.0014532134564712632
44,2.0,4235,1.0,124,55,65.0,4.0,5.0,5,16.0,f,0.0,0.0016407248702094907
45,2.0,6589,1.0,144,89,64.0,3.364,3.0,5,14.0,f,0.0,0.0025527122006635972
46,2.0,2903,1.0,112,74,64.0,4.0,3.0,5,15.0,f,0.0,0.0011246810621530464
47,2.0,5276,1.0,118,45,62.0,4.0,4.0,5,16.0,f,0.0,0.0020440293778572075
48,2.0,16049,1.0,217,55,69.0,3.364,7.0,3,21.0,m,1.0,0.006217708014638044
49,2.0,2430,1.0,88,73,67.5,4.0,4.0,5,16.0,f,0.0,0.0009414312714543241
50,2.0,9571,1.0,158,42,63.0,4.0,3.0,2,15.0,f,0.0,0.0037079994646458175
51,2.0,14369,1.0,213,22,62.0,2.636,3.0,6,14.0,f,1.0,0.005566841950422709
52,2.0,7361,1.0,168,23,67.0,4.0,7.0,1,21.0,f,0.0,0.0028518006539815966
53,2.0,6801,1.0,152,36,75.0,4.0,3.0,5,13.0,m,0.0,0.0026348452992431513
54,2.0,5132,1.0,116,41,67.0,4.0,7.0,5,21.0,m,0.0,0.0019882408580673217
55,2.0,4909,1.0,140,22,64.0,3.273,5.0,5,17.0,f,0.0,0.0019018461364482622
56,3.0,1446,1.0,84,60,62.0,3.636,6.0,5,18.0,f,0.0,0.0005602097195567706
57,2.0,6831,1.0,154,49,67.0,3.455,3.0,5,14.5,f,0.0,0.0026464679075327113
58,1.0,21833,1.0,220,54,61.0,3.909,5.0,3,20.0,f,1.0,0.008458546892865126
59,2.0,8837,1.0,182,32,64.0,3.273,7.0,1,21.0,f,0.0,0.003423632981827927
60,2.0,6116,1.0,120,49,72.0,3.636,4.0,5,16.0,m,0.0,0.002369462409964875
61,2.0,10169,1.0,203,30,67.0,4.0,5.0,6,18.0,f,1.0,0.003939676789884371
62,2.0,6453,1.0,160,23,68.0,3.182,5.0,5,17.0,f,0.0,0.0025000230430842606
63,2.0,2903,1.0,112,43,65.0,3.818,3.0,5,15.0,f,0.0,0.0011246810621530464
64,2.0,4447,1.0,132,62,72.0,3.182,6.0,5,18.0,m,0.0,0.001722857968789045
65,2.0,3637,1.0,132,54,71.0,3.364,7.0,5,21.0,m,0.0,0.001409047544970937
66,2.0,2218,1.0,80,62,67.0,3.636,6.0,5,18.0,f,0.0,0.0008592981728747699
67,1.0,18843,1.0,188,44,71.0,3.3,3.0,5,13.0,m,0.0,0.007300160266672358
68,2.0,7959,1.0,160,40,64.0,3.909,3.0,4,14.0,f,0.0,0.0030834779792201505
69,2.0,4235,1.0,124,44,66.5,3.818,4.0,5,16.0,f,0.0,0.0016407248702094907
70,2.0,8345,1.0,172,32,66.0,2.909,4.0,2,16.0,f,0.0,0.00323302220587915
71,2.0,3833,1.0,129,31,67.0,4.0,3.0,5,15.0,f,0.0,0.0014849819191293926
72,2.0,5007,1.0,120,33,66.0,4.0,3.0,2,15.0,f,0.0,0.00193981332352749
73,2.0,9117,1.0,168,36,72.0,3.0,6.0,5,18.0,m,0.0,0.0035321106591971493
74,2.0,5431,1.0,136,34,64.0,3.364,2.0,5,12.0,f,0.0,0.0021040795206865985
75,2.0,3974,1.0,108,21,61.0,3.364,3.0,5,15.0,f,0.0,0.0015396081780903227
76,3.0,1446,1.0,84,30,64.0,4.0,4.0,5,16.0,f,0.0,0.0005602097195567706
77,2.0,4958,1.0,112,30,75.0,3.818,4.0,5,16.0,m,0.0,0.0019208297299878761
78,2.0,5219,1.0,128,50,66.0,4.0,7.0,5,21.0,f,0.0,0.0020219464221070444
79,3.0,1446,1.0,84,63,72.0,3.636,6.0,5,18.0,m,0.0,0.0005602097195567706
80,2.0,7535,1.0,172,60,68.0,3.909,5.0,5,17.0,m,0.0,0.002919211782061042
